Code,Name,Continent,Region,IndepYear,Population
ABW,Aruba,North America,Caribbean,,103000
AFG,Afghanistan,Asia,Southern and Central Asia,1919,22720000
AGO,Angola,Africa,Central Africa,1975,12878000
AIA,Anguilla,North America,Caribbean,,8000
ALB,Albania,Europe,Southern Europe,1912,3401200
AND,Andorra,Europe,Southern Europe,1278,78000
ANT,Netherlands Antilles,North America,Caribbean,,217000
ARE,United Arab Emirates,Asia,Middle East,1971,2441000
ARG,Argentina,South America,South America,1816,37032000
ARM,Armenia,Asia,Middle East,1991,3520000
ASM,American Samoa,Oceania,Polynesia,,68000
ATA,Antarctica,Antarctica,Antarctica,,0
ATF,French Southern territories,Antarctica,Antarctica,,0
ATG,Antigua and Barbuda,North America,Caribbean,1981,68000
AUS,Australia,Oceania,Australia and New Zealand,1901,18886000
AUT,Austria,Europe,Western Europe,1918,8091800
AZE,Azerbaijan,Asia,Middle East,1991,7734000
BDI,Burundi,Africa,Eastern Africa,1962,6695000
BEL,Belgium,Europe,Western Europe,1830,10239000
BEN,Benin,Africa,Western Africa,1960,6097000
BFA,Burkina Faso,Africa,Western Africa,1960,11937000
BGD,Bangladesh,Asia,Southern and Central Asia,1971,129155000
BGR,Bulgaria,Europe,Eastern Europe,1908,8190900
BHR,Bahrain,Asia,Middle East,1971,617000
BHS,Bahamas,North America,Caribbean,1973,307000
BIH,Bosnia and Herzegovina,Europe,Southern Europe,1992,3972000
BLR,Belarus,Europe,Eastern Europe,1991,10236000
BLZ,Belize,North America,Central America,1981,241000
BMU,Bermuda,North America,North America,,65000
BOL,Bolivia,South America,South America,1825,8329000
BRA,Brazil,South America,South America,1822,170115000
BRB,Barbados,North America,Caribbean,1966,270000
BRN,Brunei,Asia,Southeast Asia,1984,328000
BTN,Bhutan,Asia,Southern and Central Asia,1910,2124000
BVT,Bouvet Island,Antarctica,Antarctica,,0
BWA,Botswana,Africa,Southern Africa,1966,1622000
CAF,Central African Republic,Africa,Central Africa,1960,3615000
CAN,Canada,North America,North America,1867,31147000
CCK,Cocos (Keeling) Islands,Oceania,Australia and New Zealand,,600
CHE,Switzerland,Europe,Western Europe,1499,7160400
CHL,Chile,South America,South America,1810,15211000
CIV,Côte d’Ivoire,Africa,Western Africa,1960,14786000
CMR,Cameroon,Africa,Central Africa,1960,15085000
COD,"Congo, The Democratic Republic of the",Africa,Central Africa,1960,51654000
COG,Congo,Africa,Central Africa,1960,2943000
COK,Cook Islands,Oceania,Polynesia,,20000
COL,Colombia,South America,South America,1810,42321000
COM,Comoros,Africa,Eastern Africa,1975,578000
CPV,Cape Verde,Africa,Western Africa,1975,428000
CRI,Costa Rica,North America,Central America,1821,4023000
CUB,Cuba,North America,Caribbean,1902,11201000
CXR,Christmas Island,Oceania,Australia and New Zealand,,2500
CYM,Cayman Islands,North America,Caribbean,,38000
CYP,Cyprus,Asia,Middle East,1960,754700
CZE,Czech Republic,Europe,Eastern Europe,1993,10278100
DEU,Germany,Europe,Western Europe,1955,82164700
DJI,Djibouti,Africa,Eastern Africa,1977,638000
DMA,Dominica,North America,Caribbean,1978,71000
DNK,Denmark,Europe,Nordic Countries,800,5330000
DOM,Dominican Republic,North America,Caribbean,1844,8495000
DZA,Algeria,Africa,Northern Africa,1962,31471000
ECU,Ecuador,South America,South America,1822,12646000
EGY,Egypt,Africa,Northern Africa,1922,68470000
ERI,Eritrea,Africa,Eastern Africa,1993,3850000
ESH,Western Sahara,Africa,Northern Africa,,293000
ESP,Spain,Europe,Southern Europe,1492,39441700
EST,Estonia,Europe,Baltic Countries,1991,1439200
FIN,Finland,Europe,Nordic Countries,1917,5171300
FJI,Fiji Islands,Oceania,Melanesia,1970,817000
FLK,Falkland Islands,South America,South America,,2000
FRA,France,Europe,Western Europe,843,59225700
FRO,Faroe Islands,Europe,Nordic Countries,,43000
FSM,"Micronesia, Federated States of",Oceania,Micronesia,1990,119000
GAB,Gabon,Africa,Central Africa,1960,1226000
GBR,United Kingdom,Europe,British Islands,1066,59623400
GEO,Georgia,Asia,Middle East,1991,4968000
GHA,Ghana,Africa,Western Africa,1957,20212000
GIB,Gibraltar,Europe,Southern Europe,,25000
GIN,Guinea,Africa,Western Africa,1958,7430000
GLP,Guadeloupe,North America,Caribbean,,456000
GMB,Gambia,Africa,Western Africa,1965,1305000
GNB,Guinea-Bissau,Africa,Western Africa,1974,1213000
GNQ,Equatorial Guinea,Africa,Central Africa,1968,453000
GRC,Greece,Europe,Southern Europe,1830,10545700
GRD,Grenada,North America,Caribbean,1974,94000
GRL,Greenland,North America,North America,,56000
GTM,Guatemala,North America,Central America,1821,11385000
GUF,French Guiana,South America,South America,,181000
GUM,Guam,Oceania,Micronesia,,168000
GUY,Guyana,South America,South America,1966,861000
HKG,Hong Kong,Asia,Eastern Asia,,6782000
HMD,Heard Island and McDonald Islands,Antarctica,Antarctica,,0
HND,Honduras,North America,Central America,1838,6485000
HRV,Croatia,Europe,Southern Europe,1991,4473000
HTI,Haiti,North America,Caribbean,1804,8222000
HUN,Hungary,Europe,Eastern Europe,1918,10043200
IDN,Indonesia,Asia,Southeast Asia,1945,212107000
IND,India,Asia,Southern and Central Asia,1947,1013662000
IOT,British Indian Ocean Territory,Africa,Eastern Africa,,0
IRL,Ireland,Europe,British Islands,1921,3775100
IRN,Iran,Asia,Southern and Central Asia,1906,67702000
IRQ,Iraq,Asia,Middle East,1932,23115000
ISL,Iceland,Europe,Nordic Countries,1944,279000
ISR,Israel,Asia,Middle East,1948,6217000
ITA,Italy,Europe,Southern Europe,1861,57680000
JAM,Jamaica,North America,Caribbean,1962,2583000
JOR,Jordan,Asia,Middle East,1946,5083000
KAZ,Kazakstan,Asia,Southern and Central Asia,1991,16223000
KEN,Kenya,Africa,Eastern Africa,1963,30080000
KGZ,Kyrgyzstan,Asia,Southern and Central Asia,1991,4699000
KHM,Cambodia,Asia,Southeast Asia,1953,11168000
KIR,Kiribati,Oceania,Micronesia,1979,83000
KNA,Saint Kitts and Nevis,North America,Caribbean,1983,38000
KOR,South Korea,Asia,Eastern Asia,1948,46844000
KWT,Kuwait,Asia,Middle East,1961,1972000
LAO,Laos,Asia,Southeast Asia,1953,5433000
LBN,Lebanon,Asia,Middle East,1941,3282000
LBR,Liberia,Africa,Western Africa,1847,3154000
LBY,Libyan Arab Jamahiriya,Africa,Northern Africa,1951,5605000
LCA,Saint Lucia,North America,Caribbean,1979,154000
LIE,Liechtenstein,Europe,Western Europe,1806,32300
LKA,Sri Lanka,Asia,Southern and Central Asia,1948,18827000
LSO,Lesotho,Africa,Southern Africa,1966,2153000
LTU,Lithuania,Europe,Baltic Countries,1991,3698500
LUX,Luxembourg,Europe,Western Europe,1867,435700
LVA,Latvia,Europe,Baltic Countries,1991,2424200
MAC,Macao,Asia,Eastern Asia,,473000
MAR,Morocco,Africa,Northern Africa,1956,28351000
MCO,Monaco,Europe,Western Europe,1861,34000
MDA,Moldova,Europe,Eastern Europe,1991,4380000
MDG,Madagascar,Africa,Eastern Africa,1960,15942000
MDV,Maldives,Asia,Southern and Central Asia,1965,286000
MEX,Mexico,North America,Central America,1810,98881000
MHL,Marshall Islands,Oceania,Micronesia,1990,64000
MKD,Macedonia,Europe,Southern Europe,1991,2024000
MLI,Mali,Africa,Western Africa,1960,11234000
MLT,Malta,Europe,Southern Europe,1964,380200
MMR,Myanmar,Asia,Southeast Asia,1948,45611000
MNG,Mongolia,Asia,Eastern Asia,1921,2662000
MNP,Northern Mariana Islands,Oceania,Micronesia,,78000
MOZ,Mozambique,Africa,Eastern Africa,1975,19680000
MRT,Mauritania,Africa,Western Africa,1960,2670000
MSR,Montserrat,North America,Caribbean,,11000
MTQ,Martinique,North America,Caribbean,,395000
MUS,Mauritius,Africa,Eastern Africa,1968,1158000
MWI,Malawi,Africa,Eastern Africa,1964,10925000
MYS,Malaysia,Asia,Southeast Asia,1957,22244000
MYT,Mayotte,Africa,Eastern Africa,,149000
NAM,Namibia,Africa,Southern Africa,1990,1726000
NCL,New Caledonia,Oceania,Melanesia,,214000
NER,Niger,Africa,Western Africa,1960,10730000
NFK,Norfolk Island,Oceania,Australia and New Zealand,,2000
NGA,Nigeria,Africa,Western Africa,1960,111506000
NIC,Nicaragua,North America,Central America,1838,5074000
NIU,Niue,Oceania,Polynesia,,2000
NLD,Netherlands,Europe,Western Europe,1581,15864000
NOR,Norway,Europe,Nordic Countries,1905,4478500
NPL,Nepal,Asia,Southern and Central Asia,1769,23930000
NRU,Nauru,Oceania,Micronesia,1968,12000
NZL,New Zealand,Oceania,Australia and New Zealand,1907,3862000
OMN,Oman,Asia,Middle East,1951,2542000
PAK,Pakistan,Asia,Southern and Central Asia,1947,156483000
PAN,Panama,North America,Central America,1903,2856000
PCN,Pitcairn,Oceania,Polynesia,,50
PER,Peru,South America,South America,1821,25662000
PHL,Philippines,Asia,Southeast Asia,1946,75967000
PLW,Palau,Oceania,Micronesia,1994,19000
PNG,Papua New Guinea,Oceania,Melanesia,1975,4807000
POL,Poland,Europe,Eastern Europe,1918,38653600
PRI,Puerto Rico,North America,Caribbean,,3869000
PRK,North Korea,Asia,Eastern Asia,1948,24039000
PRT,Portugal,Europe,Southern Europe,1143,9997600
PRY,Paraguay,South America,South America,1811,5496000
PSE,Palestine,Asia,Middle East,,3101000
PYF,French Polynesia,Oceania,Polynesia,,235000
QAT,Qatar,Asia,Middle East,1971,599000
REU,Réunion,Africa,Eastern Africa,,699000
ROM,Romania,Europe,Eastern Europe,1878,22455500
RUS,Russian Federation,Europe,Eastern Europe,1991,146934000
RWA,Rwanda,Africa,Eastern Africa,1962,7733000
SAU,Saudi Arabia,Asia,Middle East,1932,21607000
SDN,Sudan,Africa,Northern Africa,1956,29490000
SEN,Senegal,Africa,Western Africa,1960,9481000
SGP,Singapore,Asia,Southeast Asia,1965,3567000
SGS,South Georgia and the South Sandwich Islands,Antarctica,Antarctica,,0
SHN,Saint Helena,Africa,Western Africa,,6000
SJM,Svalbard and Jan Mayen,Europe,Nordic Countries,,3200
SLB,Solomon Islands,Oceania,Melanesia,1978,444000
SLE,Sierra Leone,Africa,Western Africa,1961,4854000
SLV,El Salvador,North America,Central America,1841,6276000
SMR,San Marino,Europe,Southern Europe,885,27000
SOM,Somalia,Africa,Eastern Africa,1960,10097000
SPM,Saint Pierre and Miquelon,North America,North America,,7000
STP,Sao Tome and Principe,Africa,Central Africa,1975,147000
SUR,Suriname,South America,South America,1975,417000
SVK,Slovakia,Europe,Eastern Europe,1993,5398700
SVN,Slovenia,Europe,Southern Europe,1991,1987800
SWE,Sweden,Europe,Nordic Countries,836,8861400
SWZ,Swaziland,Africa,Southern Africa,1968,1008000
SYC,Seychelles,Africa,Eastern Africa,1976,77000
SYR,Syria,Asia,Middle East,1941,16125000
TCA,Turks and Caicos Islands,North America,Caribbean,,17000
TCD,Chad,Africa,Central Africa,1960,7651000
TGO,Togo,Africa,Western Africa,1960,4629000
THA,Thailand,Asia,Southeast Asia,1350,61399000
TJK,Tajikistan,Asia,Southern and Central Asia,1991,6188000
TKL,Tokelau,Oceania,Polynesia,,2000
TKM,Turkmenistan,Asia,Southern and Central Asia,1991,4459000
TMP,East Timor,Asia,Southeast Asia,,885000
TON,Tonga,Oceania,Polynesia,1970,99000
TTO,Trinidad and Tobago,North America,Caribbean,1962,1295000
TUN,Tunisia,Africa,Northern Africa,1956,9586000
TUR,Turkey,Asia,Middle East,1923,66591000
TUV,Tuvalu,Oceania,Polynesia,1978,12000
TWN,Taiwan,Asia,Eastern Asia,1945,22256000
TZA,Tanzania,Africa,Eastern Africa,1961,33517000
UGA,Uganda,Africa,Eastern Africa,1962,21778000
UKR,Ukraine,Europe,Eastern Europe,1991,50456000
UMI,United States Minor Outlying Islands,Oceania,Micronesia/Caribbean,,0
URY,Uruguay,South America,South America,1828,3337000
USA,United States,North America,North America,1776,278357000
UZB,Uzbekistan,Asia,Southern and Central Asia,1991,24318000
VAT,Holy See (Vatican City State),Europe,Southern Europe,1929,1000
VCT,Saint Vincent and the Grenadines,North America,Caribbean,1979,114000
VEN,Venezuela,South America,South America,1811,24170000
VGB,"Virgin Islands, British",North America,Caribbean,,21000
VIR,"Virgin Islands, U.S.",North America,Caribbean,,93000
VNM,Vietnam,Asia,Southeast Asia,1945,79832000
VUT,Vanuatu,Oceania,Melanesia,1980,190000
WLF,Wallis and Futuna,Oceania,Polynesia,,15000
WSM,Samoa,Oceania,Polynesia,1962,180000
YEM,Yemen,Asia,Middle East,1918,18112000
YUG,Yugoslavia,Europe,Southern Europe,1918,10640000
ZAF,South Africa,Africa,Southern Africa,1910,40377000
ZMB,Zambia,Africa,Eastern Africa,1964,9169000
ZWE,Zimbabwe,Africa,Eastern Africa,1980,11669000
